# ECDICT bc015ed2e24a7abef49fc6dbbb7fe32c1dadaf8b | sha256 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf | forward lemmas 40308 | forms 71439
activate	p	activated
activator	s	activators
active	s	actives
activist	s	activists
activity	s	activities
actor	s	actors
actor-manager	s	actor-managers
actress	s	actresses
actt	s	actts
actual	s	actuals
actualise	d	actualised
actualise	i	actualising
actualise	p	actualised
actuality	s	actualities
actualize	3	actualizes
actualize	d	actualized
actualize	i	actualizing
actualize	p	actualized
actuary	s	actuaries
actuate	3	actuates
actuate	d	actuated
actuate	i	actuating
actuate	p	actuated
actuator	s	actuators
acuity	s	acuities
acuminate	3	acuminates
acuminate	d	acuminated
acuminate	i	acuminating
acuminate	p	acuminated
acupuncturist	s	acupuncturists
acute	s	acutes
acute	t	acutest
acylate	i	acylating
ad	s	ads
ad-lib	3	ad-libs
ad-lib	d	ad-libbed
ad-lib	i	ad-libbing
ad-lib	p	ad-libbed
ad-lib	s	ad-libs
ad-man	s	ad-men
ad-minister	p	ad-ministered
adage	s	adages
adagio	s	adagios
adakite	s	adakites
adama	s	adamas
adapt	3	adapts
adapt	d	adapted
adapt	i	adapting
adapt	p	adapted
adaptation	s	adaptations
adapter	s	adapters
adaption	s	adaptions
adaptor	s	adaptors
adatom	3	adatoms
adatom	s	adatoms
add	3	adds
add	d	added
add	i	adding
add	p	added
add-in	s	add-ins
add-on	s	add-ons
add-up	s	add-ups
addam	s	addams
addendum	s	addendums
adder	s	adders
addict	3	addicts
addict	d	addicted
addict	i	addicting
addict	p	addicted
addict	s	addicts
addiction	s	addictions
addio	s	addios
addition	s	additions
additive	s	additives
addle	3	addles
addle	d	addled
addle	i	addling
addle	p	addled
addr	t	addrest
address	3	addresses
address	d	addressed
address	i	addressing
address	p	addressed
address	s	addresses
addressee	s	addressees
addressing	s	addressings
adduce	3	adduces
adduce	d	adduced
adduce	i	adducing
adduce	p	adduced
adduct	3	adducts
adduct	d	adducted
adduct	i	adducting
adduct	p	adducted
adduct	s	adducts
adductor	s	adductors
addy	s	addies
adeem	d	adeemed
adenine	s	adenines
adenocarcinoma	s	adenocarcinomas
adenoid	s	adenoids
adenoma	s	adenomas
adept	s	adepts
adequacy	s	adequacies
adhere	3	adheres
adhere	d	adhered
adhere	i	adhereing
adhere	i	adhering
adhere	p	adhered
adheren	s	adherens
adherent	s	adherents
adhesin	s	adhesins
adhesion	s	adhesions
adhesive	s	adhesives
adhocracy	s	adhocracies
adida	s	adidas
adio	s	adios
adirondack	s	adirondacks
adit	s	adits
adjective	s	adjectives
adjoin	3	adjoins
adjoin	d	adjoined
adjoin	i	adjoining
adjoin	p	adjoined
adjourn	3	adjourns
adjourn	d	adjourned
adjourn	i	adjourning
adjourn	p	adjourned
adjourn	s	adjourns
adjournment	s	adjournments
adjudge	3	adjudges
adjudge	d	adjudged
adjudge	i	adjudging
adjudge	p	adjudged
adjudicate	3	adjudicates
adjudicate	d	adjudicated
adjudicate	i	adjudicating
adjudicate	p	adjudicated
adjudicate	s	adjudicates
adjudication	s	adjudications
adjudicator	s	adjudicators
adjunct	s	adjuncts
adjure	3	adjures
adjure	d	adjured
adjure	i	adjuring
adjure	p	adjured
adjust	3	adjusts
adjust	d	adjusted
adjust	i	adjusting
adjust	p	adjusted
adjustable	s	adjustables
adjuster	s	adjusters
adjustment	s	adjustments
adjustor	s	adjustors
adjutant	s	adjutants
adlib	i	adlibbing
adman	s	admen
admeasure	3	admeasures
admeasure	d	admeasured
admeasure	i	admeasuring
admeasure	p	admeasured
admin	s	admins
administer	3	administers
administer	d	administered
administer	i	administering
administer	p	administered
administrate	3	administrates
administrate	d	administrated
administrate	i	administrating
administrate	p	administrated
administrate	s	administrates
administration	s	administrations
administrator	s	administrators
admiral	s	admirals
admiralty	s	admiralties
admiration	s	admirations
admire	3	admires
admire	d	admired
admire	i	admiring
admire	p	admired
admirer	s	admirers
admission	s	admissions
admit	3	admits
admit	d	admitted
admit	i	admitting
admit	p	admitted
admittance	s	admittances
admix	3	admixes
admix	d	admixed
admix	i	admixing
admix	p	admixed
admix	s	admixes
admixture	s	admixtures
admonish	3	admonishes
admonish	d	admonished
admonish	i	admonishing
admonish	p	admonished
admonishment	s	admonishments
admonition	s	admonitions
adobe	s	adobes
adolescence	s	adolescences
adolescent	s	adolescents
adopt	3	adopts
adopt	d	adopted
adopt	i	adopting
adopt	p	adopted
adoptee	s	adoptees
adopter	s	adopters
adoption	s	adoptions
adoral	s	adorals
adoration	s	adorations
adore	3	adores
adore	d	adored
adore	i	adoring
adore	p	adored
adorer	s	adorers
adorn	3	adorns
adorn	d	adorned
adorn	i	adorning
adorn	p	adorned
adornment	s	adornments
adr	s	adrs
adrenal	s	adrenals
adrenaline	s	adrenalines
adsorb	3	adsorbs
adsorb	d	adsorbed
adsorb	i	adsorbing
adsorb	p	adsorbed
adsorb	s	adsorbs
adsorbate	s	adsorbates
adsorbent	s	adsorbents
adulate	3	adulates
adulate	d	adulated
adulate	i	adulating
adulate	p	adulated
adult	s	adults
adulterant	s	adulterants
adulterate	3	adulterates
adulterate	d	adulterated
adulterate	i	adulterating
adulterate	p	adulterated
adulterer	s	adulterers
adulteress	s	adulteresses
adultery	s	adulteries
adumbrate	3	adumbrates
adumbrate	d	adumbrated
adumbrate	i	adumbrating
adumbrate	p	adumbrated
adv	t	advest
advan-tage	s	advan-tages
advance	3	advances
advance	d	advanced
advance	i	advancing
advance	p	advanced
advance	s	advances
advancement	s	advancements
advantage	3	advantages
advantage	d	advantaged
advantage	i	advantaging
advantage	p	advantaged
advantage	s	advantages
advect	d	advected
advect	p	advected
advent	s	advents
adventist	s	adventists
adventure	3	adventures
adventure	d	adventured
adventure	i	adventuring
adventure	p	adventured
adventure	s	adventures
adventurer	s	adventurers
adventuress	s	adventuresses
adventurist	s	adventurists
adverb	s	adverbs
adverbal	s	adverbals
adverbial	s	adverbials
adversary	s	adversaries
adversity	s	adversities
advert	3	adverts
advert	d	adverted
advert	i	adverting
advert	p	adverted
advert	s	adverts
advertise	3	advertises
advertise	d	advertised
advertise	i	advertising
advertise	p	advertised
advertisement	s	advertisements
advertiser	s	advertisers
advertize	3	advertizes
advertize	d	advertized
advertize	i	advertizing
advertize	p	advertized
advertorial	s	advertorials
advise	3	advises
advise	d	advised
advise	i	advising
advise	p	advised
advisee	s	advisees
adviser	s	advisers
advisor	s	advisors
advocate	3	advocates
advocate	d	advocated
advocate	i	advocating
advocate	p	advocated
advocate	s	advocates
advowson	s	advowsons
advt	s	advts
adze	d	adzed
adze	i	adzing
adze	s	adzes
aea	s	aeas
aec	s	aecs
aede	3	aedes
aelr	p	aelred
aen	s	aens
aeolian	s	aeolians
aeon	s	aeons
aer	s	aers
aerate	3	aerates
aerate	d	aerated
aerate	i	aerating
aerate	p	aerated
aerate	s	aerates
aerator	s	aerators
aerial	s	aerials
aerify	3	aerifies
aerify	d	aerified
aerify	i	aerifying
aerify	p	aerified
aero	s	aeros
aero-engine	s	aero-engines
aerobatic	s	aerobatics
aerobic	s	aerobics
aerobrake	i	aerobraking
aerodrome	s	aerodromes
aerodynamic	s	aerodynamics
aerodynamicist	s	aerodynamicists
aeroengine	s	aeroengines
aerofoil	s	aerofoils
aerogenerator	s	aerogenerators
aerogramme	s	aerogrammes
aerolith	s	aeroliths
aeronaut	s	aeronauts
aeroplane	s	aeroplanes
aerosol	d	aerosolled
aerosol	s	aerosols
aerotow	i	aerotowing
aerotow	s	aerotows
aert	s	aerts
aesthete	s	aesthetes
aesthetician	s	aestheticians
aestivate	3	aestivates
aestivate	d	aestivated
aestivate	i	aestivating
aestivate	p	aestivated
aethiop	s	aethiops
aetiology	s	aetiologies
af	r	afer
af	s	afs
afar	s	afars
afear	d	afeared
affair	s	affairs
affaire	s	affaires
affect	3	affects
affect	d	affected
affect	i	affecting
affect	p	affected
affect	s	affects
affectation	s	affectations
affection	s	affections
afferent	s	afferents
affiance	3	affiances
affiance	d	affianced
affiance	i	affiancing
affiance	p	affianced
affidavit	s	affidavits
affiliate	3	affiliates
affiliate	d	affiliated
affiliate	i	affiliating
affiliate	p	affiliated
affiliate	s	affiliates
affiliation	s	affiliations
affine	3	affines
affine	s	affines
affinity	s	affinities
affirm	3	affirms
affirm	d	affirmed
affirm	i	affirming
affirm	p	affirmed
affirm	s	affirms
affirmation	s	affirmations
affirmative	s	affirmatives
affix	3	affixes
affix	d	affixed
affix	i	affixing
affix	p	affixed
affix	s	affixes
afflict	3	afflicts
afflict	d	afflicted
afflict	i	afflicting
afflict	p	afflicted
affliction	s	afflictions
afforce	d	afforced
afforce	p	afforced
afford	3	affords
afford	d	afforded
afford	i	affording
afford	p	afforded
afforest	3	afforests
afforest	d	afforested
afforest	i	afforesting
afforest	p	afforested
affranchise	3	affranchises
affranchise	d	affranchised
affranchise	i	affranchising
affranchise	p	affranchised
affray	d	affraid
affray	s	affrays
affricate	s	affricates
affright	3	affrights
affright	d	affrighted
affright	i	affrighting
affright	p	affrighted
affront	3	affronts
affront	d	affronted
affront	i	affronting
affront	p	affronted
affront	s	affronts
afghan	s	afghans
afghani	s	afghanis
aficionado	s	aficionados
afm	s	afms
aforesay	d	aforesaid
aforesay	p	aforesaid
afp	s	afps
africain	s	africains
african	s	africans
african-american	s	african-americans
africander	s	africanders
africanise	p	africanised
africanist	s	africanists
afrikaan	r	afrikaaner
afrikaaner	s	afrikaaners
afrikaner	s	afrikaners
afro	s	afros
afro-american	s	afro-americans
afro-asian	s	afro-asians
afrocentrist	s	afrocentrists
aft	s	afts
after-effect	s	after-effects
after-hour	s	after-hours
after-image	s	after-images
after-shock	s	after-shocks
after-taste	s	after-tastes
afterbirth	s	afterbirths
afterburner	s	afterburners
afterglow	s	afterglows
afterimage	s	afterimages
aftermath	s	aftermaths
afternoon	s	afternoons
aftershave	p	aftershaved
aftershave	s	aftershaves
aftershock	s	aftershocks
afterthought	s	afterthoughts
aftertime	s	aftertimes
afterword	s	afterwords
ag	s	ags
aga	s	agas
agar	s	agars
agate	s	agates
agave	s	agaves
agca	s	agcas
age	3	ages
age	d	aged
age	i	ageing
age	p	aged
age	s	ages
age-group	s	age-groups
age-limit	s	age-limits
age-mate	s	age-mates
age-set	s	age-sets
agen	s	agens
agency	s	agencies
agenda	s	agendas
agent	s	agents
ager	3	agers
ager	s	agers
