# UniMorph eng 66e0e9e8e2dcd196da081a25a48e5c1fe3d8b49b | sha256 743fff8ddb3ff26ae413af1fa859806106ffff69628be4cb7ed4d34f677deed2 | pack cet4 | entries 415
outlook	look	out-	N	N
outset	set#verb	out-	N	N
outset	set	out-	U	V
outset	set	out-	N	N
outskirt	skirt	out-	N	N
outskirt	skirt	out-	N	V
outward	out	-ward	ADV	ADJ
outward	ward	out-	N	V
outwards	outward	-s	ADJ	ADV
overcoat	coat	over-	N	N
overdue	due	over-	ADJ	ADJ
overhead	head	over-	ADJ	ADJ
overnight	night	over-	N	ADJ
overtake	take	over-	N	V
overtime	time	over-	V	N
permanently	permanent	-ly	ADJ	ADV
pessimistic	pessimist	-ic	N	ADJ
philosopher	philosophy	-er	N	N
photographic	photograph	-ic	N	ADJ
physicist	physics	-ist	N	N
pipeline	pipe	-ine	N	N
plantation	plant	-ation	N	N
plentiful	plenty	-ful	N	ADJ
plural	plus	-alis	N	ADJ
poisonous	poison	-ous	N	ADJ
porter	port	-er	N	N
postage	age	post-	N	N
postage	post	-age	N	N
postman	post	-man	N	N
precaution	caution	pre-	N	N
preceding	precede	-ing	V	ADJ
precision	precise	-ion	ADJ	N
preferable	prefer	-able	V	ADJ
preposition	position	pre-	N	U
presently	present	-ly	ADJ	ADV
pronoun	noun	pro-	N	N
proportional	proportion	-al	N	ADJ
prosperity	prosper	-ity	ADJ	N
prosperous	prosper	-ous	ADJ	ADJ
purify	pure	-ify	ADJ	V
purity	pure	-ity	N	N
quarterly	quarter	-ly	V	ADJ
quicken	quick	-en	ADJ	V
quotation	quote	-ation	N	N
radioactive	active	radio-	N	ADJ
radioactivity	radioactive	-ity	ADJ	U
radioactivity	activity	radio-	N	N
radioactivity	radioactive	-ity	ADJ	N
rainy	rain	-y	N	ADJ
recollect	collect	re-	U	V
recollect	collect	re-	V	V
recorder	record	-er	N	N
recreation	creation	re-	N	U
refine	fine	re-	ADJ	V
refresh	fresh	re-	ADJ	V
refreshment	refresh	-ment	V	N
rehearsal	rehearse	-al	V	N
relativity	relative	-ity	N	N
reliance	rely	-ance	V	N
reliance	reliant	-ce	ADJ	N
renew	new	re-	ADJ	V
repetition	petition	re-	N	N
resistant	resist	-ant	V	ADJ
respectful	respect	-ful	N	ADJ
respective	respect	-ive	N	ADJ
restless	rest	-less	N	ADJ
retell	tell	re-	V	V
retreat	treat	re-	V	V
retreat	treat	re-	V	N
riddle	rede	-le	N	N
ripen	ripe	-en	N	V
robber	rob	-er	N	N
robbery	rob	-ery	N	N
robbery	robber	-y	N	N
roller	roll	-er	N	N
rotation	rotate	-ion	V	N
rotten	rot	-en	N	ADJ
rubber	rub	-er	V	N
rusty	rust	-y	N	ADJ
sadness	sad	-ness	N	N
sailor	sail	-or	V	N
salesman	sale	-man	N	N
sandy	sand	-y	N	ADJ
saucer	sauce	-er	N	N
scenery	scene	-ry	N	N
seaman	sea	-man	N	N
selfish	self	-ish	N	ADJ
semiconductor	conductor	semi-	N	N
shady	shade	-y	N	ADJ
sharpen	sharp	-en	N	V
shilling	skill	-ing	N	N
sickness	sick	-ness	N	N
sightseeing	sightsee	-ing	N	N
simplicity	simple	-icity	ADJ	N
simplify	simple	-ify	ADJ	V
skillful	skill	-ful	N	ADJ
slavery	slave	-ery	ADJ	N
slavery	slaver	-y	V	ADJ
slavery	slave	-ry	ADJ	N
sleepy	sleep	-y	N	ADJ
slipper	slip	-er	N	N
smoothly	smooth	-ly	ADJ	ADV
snowy	snow	-y	N	ADJ
spacecraft	space	-craft	N	N
spaceship	space	-ship	ADJ	N
sparkle	spark	-le	N	N
sparkle	spark	-le	N	U
speciality	special	-ity	N	N
spelling	spell	-ing	N	V
sportsman	sports	-man	N	N
sportsman	sport	-man	N	N
sprinkle	sprink	-le	V	V
startle	start	-le	N	V
starvation	starve	-ation	V	N
starvation	starve	-tion	V	N
statesman	state	-man	N	N
steamer	steam	-er	N	N
stewardess	steward	-ess	N	N
sticky	stick	-y	N	ADJ
stiffen	stiff	-en	ADJ	V
stocking	stock	-ing	N	N
stocking	stock	-ing	N	V
stony	stone	-y	N	ADJ
stormy	storm	-y	N	ADJ
submarine	marine	sub-	N	ADJ
submerge	merge	sub-	V	V
subway	way	sub-	N	N
summarize	summary	-ize	ADJ	V
surname	name	sur-	N	N
surroundings	surrounding	-s	N	N
sweater	sweat	-er	N	N
sympathize	sympathy	-ize	N	V
synthetic	synthesis	-ic	N	ADJ
technician	technic	-ian	N	N
temptation	tempt	-ation	V	N
thickness	thick	-ness	ADJ	N
thirdly	third	-ly	ADJ	ADV
thoughtful	thought	-ful	N	ADJ
tidy	tide	-y	N	ADJ
tolerance	tolerant	-ce	ADJ	N
tractor	tract	-or	N	N
transformer	transform	-er	N	N
transplant	plant	trans-	N	V
triangle	angle	tri-	N	N
troublesome	trouble	-some	ADJ	ADJ
trumpet	trump	-et	N	N
turning	turn	-ing	N	N
twinkle	twink	-le	V	V
typewriter	typewrite	-er	V	N
typist	type	-ist	N	N
unbearable	bearable	un-	ADJ	ADJ
unconscious	conscious	un-	ADJ	ADJ
undergraduate	graduate	under-	N	N
underline	line	under-	N	N
undo	do	un-	N	V
uneasy	easy	un-	ADJ	ADJ
uneasy	unease	-y	N	ADJ
unjust	just	un-	ADV	ADJ
unkind	kind	un-	N	ADJ
unload	load	un-	N	V
unlucky	lucky	un-	ADJ	ADJ
unpleasant	pleasant	un-	ADJ	ADJ
unsatisfactory	satisfactory	un-	ADJ	ADJ
unstable	stable	un-	ADJ	ADJ
unsuitable	suitable	un-	ADJ	ADJ
unusually	unusual	-ly	ADJ	ADV
unusually	usually	un-	ADV	ADV
unwilling	willing	un-	ADJ	ADJ
upright	right	up-	ADJ	ADJ
upward	up	-ward	ADJ	ADV
upward	up	-ward	ADJ	N
usage	use	-age	N	N
useless	use	-less	V	ADJ
vacant	vacate	-ant	V	ADJ
vanity	vain	-ity	ADJ	N
vibration	vibrate	-ion	V	N
victorious	victory	-ous	N	ADJ
videotape	tape	video-	N	N
vigorous	vigor	-ous	N	ADJ
vigorous	vigour	-ous	N	ADJ
violin	viola	-in	N	N
vitally	vital	-ly	ADJ	ADV
voltage	volt	-age	N	N
waiter	wait	-er	N	N
waterproof	water	-proof	N	ADJ
westward	west	-ward	N	ADJ
whitewash	white	-wash	ADJ	N
widen	wide	-en	ADJ	V
width	wide	-th	ADJ	N
wireless	wire	-less	N	ADJ
withstand	stand	with-	V	V
woollen	wool	-en	N	ADJ
workman	work	-man	N	N
worship	worth	-ship	ADJ	N
worthless	worth	-less	N	ADJ
worthy	worth	-y	N	ADJ
wreckage	wreck	-age	N	N
yearly	year	-ly	N	ADJ
yearly	year	-ly	N	ADV
youthful	youth	-ful	N	ADJ
zealous	zeal	-ous	N	ADJ
